,0,1,2
0,0,1,0.01
1,0,2,0.3
2,0,3,0.3
3,0,4,0.3
4,0,5,0.3
5,0,6,0.3
6,0,7,0.3
7,0,8,0.3
8,0,9,0.3
9,0,10,0.01
10,0,11,0.01
11,0,12,0.01
12,0,13,0.3
13,0,14,0.3
14,0,15,0.3
15,0,16,0.3
16,0,17,0.01
17,0,18,0.3
18,0,19,0.3
19,0,20,0.01
20,0,21,0.3
21,0,22,0.3
22,0,23,0.3
23,0,24,0.01
24,0,25,2.0
25,0,26,2.0
26,0,27,0.3
27,0,28,0.3
28,0,29,2.0
29,0,30,0.3
30,0,31,0.3
31,0,32,0.3
32,0,33,0.3
33,0,34,2.0
34,0,35,0.3
35,0,36,0.3
36,0,37,2.0
37,0,38,0.3
38,0,39,0.3
39,0,40,0.3
40,39,1,2.0
41,39,2,0.3
42,39,3,0.3
43,39,4,0.3
44,39,5,0.3
45,39,6,0.3
46,39,7,2.0
47,39,8,0.3
48,39,9,0.3
49,39,14,0.3
50,39,15,0.3
51,39,16,0.3
52,39,17,2.0
53,39,18,0.3
54,39,19,0.3
55,39,21,0.3
56,39,22,0.3
57,39,23,0.3
58,39,25,2.0
59,39,26,2.0
60,39,28,0.3
61,39,29,2.0
62,39,30,0.3
63,39,31,0.3
64,39,32,0.3
65,39,33,0.3
66,39,34,2.0
67,39,35,0.3
68,39,37,2.0
69,39,38,0.3
70,39,40,0.3
71,4,1,0.3
72,4,2,0.3
73,4,3,0.3
74,4,5,0.3
75,4,6,0.3
76,4,7,2.0
77,4,8,0.3
78,4,9,0.3
79,4,11,2.0
80,4,12,0.3
81,4,14,0.3
82,4,15,0.3
83,4,16,0.3
84,4,17,0.3
85,4,18,2.0
86,4,19,2.0
87,4,20,0.3
88,4,21,0.3
89,4,22,0.3
90,4,23,0.3
91,4,24,0.3
92,4,25,2.0
93,4,26,2.0
94,4,27,2.0
95,4,28,0.3
96,4,29,2.0
97,4,30,0.3
98,4,31,0.3
99,4,32,0.3
100,4,33,0.3
101,4,34,2.0
102,4,35,0.3
103,4,37,2.0
104,4,38,0.3
105,4,40,0.3
106,37,2,2.0
107,37,3,2.0
108,37,5,2.0
109,37,6,2.0
110,37,8,2.0
111,37,9,2.0
112,37,12,2.0
113,37,13,2.0
114,37,14,2.0
115,37,16,2.0
116,37,17,2.0
117,37,18,2.0
118,37,19,2.0
119,37,20,2.0
120,37,21,2.0
121,37,22,2.0
122,37,23,2.0
123,37,24,2.0
124,37,25,2.0
125,37,26,2.0
126,37,28,2.0
127,37,29,2.0
128,37,30,2.0
129,37,31,2.0
130,37,32,2.0
131,37,33,2.0
132,37,34,2.0
133,37,35,0.3
134,37,38,2.0
135,37,40,2.0
136,34,1,2.0
137,34,2,2.0
138,34,3,2.0
139,34,5,2.0
140,34,6,2.0
141,34,7,0.3
142,34,8,2.0
143,34,9,2.0
144,34,12,2.0
145,34,14,2.0
146,34,15,0.3
147,34,16,2.0
148,34,17,2.0
149,34,18,2.0
150,34,19,2.0
151,34,20,2.0
152,34,21,2.0
153,34,22,2.0
154,34,23,2.0
155,34,24,2.0
156,34,25,2.0
157,34,26,2.0
158,34,27,2.0
159,34,28,2.0
160,34,29,2.0
161,34,30,2.0
162,34,31,2.0
163,34,32,2.0
164,34,33,2.0
165,34,35,0.3
166,34,38,2.0
167,34,40,2.0
168,21,1,0.3
169,21,2,0.3
170,21,3,0.3
171,21,5,0.3
172,21,6,0.3
173,21,7,0.3
174,21,8,0.3
175,21,9,0.01
176,21,12,0.3
177,21,13,2.0
178,21,14,0.3
179,21,15,0.3
180,21,16,0.3
181,21,17,0.3
182,21,18,0.3
183,21,19,0.3
184,21,20,0.3
185,21,22,0.3
186,21,23,0.3
187,21,24,0.3
188,21,25,2.0
189,21,26,2.0
190,21,27,0.3
191,21,28,0.3
192,21,29,2.0
193,21,30,0.3
194,21,31,0.3
195,21,32,0.3
196,21,33,0.3
197,21,35,0.3
198,21,38,0.3
199,21,40,2.0
200,22,2,0.3
201,22,3,0.3
202,22,5,0.3
203,22,6,0.3
204,22,8,0.3
