,0,1,2
526,12,6,0.3
527,12,9,0.3
528,12,10,0.3
529,12,20,0.3
530,12,24,0.3
531,12,28,0.3
532,12,29,2.0
533,12,30,0.3
534,12,33,0.3
535,9,1,0.01
536,9,3,0.3
537,9,6,0.3
538,9,10,0.3
539,9,15,0.01
540,9,20,0.3
541,9,24,0.3
542,9,28,0.3
543,9,29,2.0
544,9,30,0.3
545,9,31,0.3
546,9,33,0.3
547,33,3,0.3
548,33,6,0.3
549,33,20,0.3
550,33,24,0.3
551,33,28,0.3
552,33,29,2.0
553,33,30,0.3
554,33,31,0.3
555,31,1,0.3
556,31,3,0.3
557,31,6,0.3
558,31,28,0.3
559,31,29,2.0
560,31,30,0.3
561,15,1,0.3
562,15,6,0.3
563,24,3,0.3
564,24,6,0.3
565,24,20,0.3
566,24,28,0.3
567,24,29,2.0
568,24,30,0.3
569,28,3,0.3
570,28,6,0.3
571,28,20,0.3
572,28,29,2.0
573,28,30,0.3
